instance,metric,variant_a,variant_b,median_a,median_b,statistic,p_value,cliffs_delta_positive_favors_a,p_value_holm,decision
A-n65-k9,gap_percent,efg-high-random,efg-medium-random,204.5144805,201.02214800000002,491.0,0.5493267842679926,-0.09111111111111111,1.0,no_significativo
A-n65-k9,gap_percent,efg-medium-best,efg-medium-first,198.21124300000002,193.90970650000003,461.0,0.8766263986493129,-0.024444444444444446,1.0,no_significativo
A-n65-k9,gap_percent,efg-medium-best,efg-medium-random,198.21124300000002,201.02214800000002,349.5,0.1392838715895269,0.22333333333333333,1.0,no_significativo
A-n65-k9,gap_percent,efg-medium-first,efg-medium-random,193.90970650000003,201.02214800000002,340.0,0.10545542648507422,0.24444444444444444,1.0,no_significativo
A-n65-k9,elapsed_time_seconds,baseline-best,baseline-first,0.376519,0.385019,404.5,0.5058473564796825,0.10111111111111111,1.0,no_significativo
A-n65-k9,elapsed_time_seconds,baseline-best,baseline-random,0.376519,0.41752,355.0,0.16236918657318467,0.2111111111111111,1.0,no_significativo
A-n65-k9,elapsed_time_seconds,baseline-best,efg-high-best,0.376519,0.7700370000000001,0.0,3.0141849228072565e-11,1.0,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-best,efg-high-first,0.376519,0.743536,0.0,3.016075319890922e-11,1.0,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-best,efg-high-random,0.376519,0.7380355000000001,0.0,3.0141849228072565e-11,1.0,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-best,efg-medium-best,0.376519,0.5800295,21.0,2.368763358203004e-10,0.9533333333333334,4.97156387020586e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-best,efg-medium-first,0.376519,0.6285305,4.0,4.496005078176283e-11,0.9911111111111112,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-best,efg-medium-random,0.376519,0.616031,2.0,3.685142625153619e-11,0.9955555555555555,1.0851065722106123e-09,significativo
