run_id,algorithm,instance,seed,iter,k,current_cost,best_cost,delta,accepted,shake_applied,shake_tries,shake_invalid,vnd_rounds,vnd_improvements,neighbors_evaluated,ivns_string,ivns_string_length,ivns_complexity_score,ivns_generation_tries,ivns_strings_generated_iter,ivns_strings_valid_iter,ivns_strings_invalid_iter,ivns_strings_evaluated_iter,ivns_strings_selected_iter,ivns_strings_accepted_iter,ivns_unique_strings_iter,ivns_filter_reject_reason,elapsed_time_seconds,status,error,source_path,experiment_group
vns_A-n33-k5_4,vns,A-n33-k5,4,6,1,1405,1405,-39,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.160056,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_4,vns,A-n33-k5,4,7,1,1347,1347,-58,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.185064,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_4,vns,A-n33-k5,4,8,1,1258,1258,-89,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.215074,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_4,vns,A-n33-k5,4,9,1,1187,1187,-71,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.242084,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
vns_A-n33-k5_4,vns,A-n33-k5,4,10,1,1132,1132,-55,True,True,1.0,0.0,3.0,3.0,3,,0,0,0,0,0,0,0,0,0,0,,0.267092,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_4,ivns,A-n33-k5,4,1,1,1905,1905,0,False,False,,,,,0,raabrb,6,14,2,2,1,1,0,1,0,1,Complejidad excesiva: 28 > 14.,0.061021,timeout,tiempo límite agotado aplicando criterio ivns: 0.05 segundos.,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_4,ivns,A-n33-k5,4,2,1,1751,1751,-154,True,False,,,,,1,rfrg,4,12,2,2,1,1,1,1,1,2,Complejidad excesiva: 20 > 14.,0.106035,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_4,ivns,A-n33-k5,4,3,1,1594,1594,-157,True,False,,,,,1,raac,4,11,2,2,1,1,1,1,1,3,Complejidad excesiva: 17 > 14.,0.113037,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_4,ivns,A-n33-k5,4,4,1,1479,1479,-115,True,False,,,,,1,rarac,5,14,1,1,1,0,1,1,1,4,,0.126042,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
ivns_A-n33-k5_4,ivns,A-n33-k5,4,5,1,1408,1408,-71,True,False,,,,,1,rarac,5,14,2,2,1,1,1,1,1,4,Complejidad excesiva: 24 > 14.,0.139046,ok,,/home/olivia3/Proyectos Uni/vrp/results/oficiales-final/trace-main-baseline-random.csv,official_vns_ivns
